year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2024,7,FSC,Afghanistan,CR1,22,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,DV,219,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,E1,3,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,F1,1,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,F2A,17,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,F2B,5,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,F3,6,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,F4,10,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,FX,23,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,IR1,43,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,IR2,20,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,IR5,254,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,SQ1,566,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,SQ2,498,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Afghanistan,SQ3,1683,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,CR1,2,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,DV,203,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,E1,1,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,E3,1,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,EW,2,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,F1,5,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,F2A,2,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,F2B,40,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,F3,19,2024-07_dos_iv_fsc_pob_visa_class.xlsx
2024,7,FSC,Albania,F4,92,2024-07_dos_iv_fsc_pob_visa_class.xlsx
