year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2025,4,FSC,Afghanistan,CR1,24,2025-04_dos_iv_fsc_pob_visa_class.xlsx,3
2025,4,FSC,Afghanistan,DV,65,2025-04_dos_iv_fsc_pob_visa_class.xlsx,4
2025,4,FSC,Afghanistan,E1,4,2025-04_dos_iv_fsc_pob_visa_class.xlsx,5
2025,4,FSC,Afghanistan,E3,7,2025-04_dos_iv_fsc_pob_visa_class.xlsx,6
2025,4,FSC,Afghanistan,F1,6,2025-04_dos_iv_fsc_pob_visa_class.xlsx,7
2025,4,FSC,Afghanistan,F2A,4,2025-04_dos_iv_fsc_pob_visa_class.xlsx,8
2025,4,FSC,Afghanistan,F2B,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,9
2025,4,FSC,Afghanistan,F3,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,10
2025,4,FSC,Afghanistan,F4,11,2025-04_dos_iv_fsc_pob_visa_class.xlsx,11
2025,4,FSC,Afghanistan,FX,4,2025-04_dos_iv_fsc_pob_visa_class.xlsx,12
2025,4,FSC,Afghanistan,IR1,42,2025-04_dos_iv_fsc_pob_visa_class.xlsx,13
2025,4,FSC,Afghanistan,IR2,13,2025-04_dos_iv_fsc_pob_visa_class.xlsx,14
2025,4,FSC,Afghanistan,IR5,74,2025-04_dos_iv_fsc_pob_visa_class.xlsx,15
2025,4,FSC,Afghanistan,SB1,5,2025-04_dos_iv_fsc_pob_visa_class.xlsx,16
2025,4,FSC,Afghanistan,SQ1,209,2025-04_dos_iv_fsc_pob_visa_class.xlsx,17
2025,4,FSC,Afghanistan,SQ2,150,2025-04_dos_iv_fsc_pob_visa_class.xlsx,18
2025,4,FSC,Afghanistan,SQ3,406,2025-04_dos_iv_fsc_pob_visa_class.xlsx,19
2025,4,FSC,Albania,CR1,6,2025-04_dos_iv_fsc_pob_visa_class.xlsx,20
2025,4,FSC,Albania,DV,113,2025-04_dos_iv_fsc_pob_visa_class.xlsx,21
2025,4,FSC,Albania,E1,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,22
2025,4,FSC,Albania,E3,6,2025-04_dos_iv_fsc_pob_visa_class.xlsx,23
2025,4,FSC,Albania,F2A,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,24
2025,4,FSC,Albania,F2B,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,25
2025,4,FSC,Albania,F3,6,2025-04_dos_iv_fsc_pob_visa_class.xlsx,26
2025,4,FSC,Albania,F4,3,2025-04_dos_iv_fsc_pob_visa_class.xlsx,27
2025,4,FSC,Albania,IR1,10,2025-04_dos_iv_fsc_pob_visa_class.xlsx,28
2025,4,FSC,Albania,IR2,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,29
2025,4,FSC,Albania,IR5,94,2025-04_dos_iv_fsc_pob_visa_class.xlsx,30
2025,4,FSC,Algeria,CR1,9,2025-04_dos_iv_fsc_pob_visa_class.xlsx,31
2025,4,FSC,Algeria,DV,272,2025-04_dos_iv_fsc_pob_visa_class.xlsx,32
2025,4,FSC,Algeria,E2,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,33
2025,4,FSC,Algeria,E3,4,2025-04_dos_iv_fsc_pob_visa_class.xlsx,34
2025,4,FSC,Algeria,F2A,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,35
2025,4,FSC,Algeria,F4,3,2025-04_dos_iv_fsc_pob_visa_class.xlsx,36
2025,4,FSC,Algeria,FX,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,37
2025,4,FSC,Algeria,I5,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,38
2025,4,FSC,Algeria,IR1,19,2025-04_dos_iv_fsc_pob_visa_class.xlsx,39
2025,4,FSC,Algeria,IR2,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,40
2025,4,FSC,Algeria,IR5,30,2025-04_dos_iv_fsc_pob_visa_class.xlsx,41
2025,4,FSC,Algeria,IW,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,42
2025,4,FSC,Algeria,SB1,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,43
2025,4,FSC,Angola,DV,10,2025-04_dos_iv_fsc_pob_visa_class.xlsx,44
2025,4,FSC,Angola,F2A,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,45
2025,4,FSC,Angola,IR5,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,46
2025,4,FSC,Anguilla,IR1,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,47
2025,4,FSC,Antigua and Barbuda,E2,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,48
2025,4,FSC,Antigua and Barbuda,F1,3,2025-04_dos_iv_fsc_pob_visa_class.xlsx,49
2025,4,FSC,Antigua and Barbuda,F2A,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,50
2025,4,FSC,Antigua and Barbuda,FX,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,51
2025,4,FSC,Antigua and Barbuda,IR1,3,2025-04_dos_iv_fsc_pob_visa_class.xlsx,52
2025,4,FSC,Antigua and Barbuda,IR2,3,2025-04_dos_iv_fsc_pob_visa_class.xlsx,53
2025,4,FSC,Antigua and Barbuda,IR5,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,54
2025,4,FSC,Argentina,CR1,6,2025-04_dos_iv_fsc_pob_visa_class.xlsx,55
2025,4,FSC,Argentina,DV,10,2025-04_dos_iv_fsc_pob_visa_class.xlsx,56
2025,4,FSC,Argentina,E1,7,2025-04_dos_iv_fsc_pob_visa_class.xlsx,57
2025,4,FSC,Argentina,E2,27,2025-04_dos_iv_fsc_pob_visa_class.xlsx,58
2025,4,FSC,Argentina,E3,5,2025-04_dos_iv_fsc_pob_visa_class.xlsx,59
2025,4,FSC,Argentina,F2A,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,60
2025,4,FSC,Argentina,F3,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,61
2025,4,FSC,Argentina,F4,5,2025-04_dos_iv_fsc_pob_visa_class.xlsx,62
2025,4,FSC,Argentina,IR1,9,2025-04_dos_iv_fsc_pob_visa_class.xlsx,63
2025,4,FSC,Argentina,IR2,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,64
2025,4,FSC,Argentina,IR5,14,2025-04_dos_iv_fsc_pob_visa_class.xlsx,65
2025,4,FSC,Armenia,CR1,4,2025-04_dos_iv_fsc_pob_visa_class.xlsx,66
2025,4,FSC,Armenia,DV,198,2025-04_dos_iv_fsc_pob_visa_class.xlsx,67
2025,4,FSC,Armenia,E2,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,68
2025,4,FSC,Armenia,F1,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,69
2025,4,FSC,Armenia,F3,3,2025-04_dos_iv_fsc_pob_visa_class.xlsx,70
2025,4,FSC,Armenia,FX,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,71
2025,4,FSC,Armenia,IH3,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,72
2025,4,FSC,Armenia,IR1,5,2025-04_dos_iv_fsc_pob_visa_class.xlsx,73
2025,4,FSC,Armenia,IR2,9,2025-04_dos_iv_fsc_pob_visa_class.xlsx,74
2025,4,FSC,Armenia,IR5,36,2025-04_dos_iv_fsc_pob_visa_class.xlsx,75
2025,4,FSC,Australia,CR1,4,2025-04_dos_iv_fsc_pob_visa_class.xlsx,76
2025,4,FSC,Australia,DV,13,2025-04_dos_iv_fsc_pob_visa_class.xlsx,77
2025,4,FSC,Australia,E1,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,78
2025,4,FSC,Australia,E3,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,79
2025,4,FSC,Australia,F3,2,2025-04_dos_iv_fsc_pob_visa_class.xlsx,80
2025,4,FSC,Australia,F4,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,81
2025,4,FSC,Australia,IR1,12,2025-04_dos_iv_fsc_pob_visa_class.xlsx,82
2025,4,FSC,Australia,IR2,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,83
2025,4,FSC,Austria,CR1,1,2025-04_dos_iv_fsc_pob_visa_class.xlsx,84
2025,4,FSC,Austria,DV,7,2025-04_dos_iv_fsc_pob_visa_class.xlsx,85
