year,month,nationality,visa_class,issuances,source_file
2024,8,*Non-Nationality Based Issuances,B1,6,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,B1/B2,164,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,C1/D,15,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,F1,13,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,G4,2,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,H1B,3,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,H4,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,I,2,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,J1,6,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,K1,4,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,L1,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,P1,2,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,R1,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,*Non-Nationality Based Issuances,R2,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,B1/B2,165,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,F1,88,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,F2,2,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,G4,30,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,H1B,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,H4,7,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,J1,4,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,K1,12,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Afghanistan,O1,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,A2,36,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,B1/B2,2393,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,C1/D,17,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,F1,53,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,G2,3,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,G4,6,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,H1B,4,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,H4,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,J1,12,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,J2,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,K1,11,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,L2,1,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,NATO2,7,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Albania,P3,3,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Algeria,A1,8,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Algeria,A2,3,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Algeria,B1/B2,1769,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Algeria,C1,3,2024-08_dos_niv_nationality_visa_class.xlsx
2024,8,Algeria,D,11,2024-08_dos_niv_nationality_visa_class.xlsx
