state,year,population,lawful_permanent_residents_total,lawful_permanent_residents_rank,lawful_permanent_residents_per_million,lawful_permanent_residents_per_million_rank,adjustments_total,adjustments_rank,adjustments_per_million,adjustments_per_million_rank,new_arrivals_total,new_arrivals_rank,new_arrivals_per_million,new_arrivals_per_million_rank,nonimmigrants_total,nonimmigrants_rank,nonimmigrants_per_million,nonimmigrants_per_million_rank,naturalizations_total,naturalizations_rank,naturalizations_per_million,naturalizations_per_million_rank,refugees_total,refugees_rank,refugees_per_million,refugees_per_million_rank,asylees_total,asylees_rank,asylees_per_million,asylees_per_million_rank,source_file
Alabama,2013,4830081,3850,35,796.674,49,2150,34,444.713,48,1700,34,351.961,48,126750,35,26240.761,44,1810,39,374.942,49,130,42,26.708,43,20,36,4.762,46,state_data_2013-2023_20250514_3.csv
Alabama,2014,4841799,3690,35,761.081,48,2050,34,422.57,47,1640,37,338.511,47,141340,34,29191.009,43,1270,42,261.473,51,110,43,22.099,44,10,40,2.891,47,state_data_2013-2023_20250514_3.csv
Alabama,2015,4852347,3930,35,809.505,49,2100,36,432.574,48,1830,35,376.931,49,151470,34,31215.822,43,2830,32,584.047,47,110,43,21.639,43,30,40,5.358,43,state_data_2013-2023_20250514_3.csv
Alabama,2016,4863525,4740,35,973.779,48,2390,34,492.03,47,2340,36,481.749,47,152740,34,31405.411,44,2330,38,479.282,48,120,43,24.673,44,20,43,3.29,50,state_data_2013-2023_20250514_3.csv
Alabama,2017,4874486,3800,37,779.775,48,1910,35,390.81,48,1900,37,388.964,48,158220,34,32458.191,47,1050,43,214.382,52,60,44,12.924,46,40,36,8.821,45,state_data_2013-2023_20250514_3.csv
Alabama,2018,4887681,3740,37,764.575,48,2030,35,414.921,47,1710,37,349.655,47,178590,33,36538.596,44,2470,37,504.943,48,30,44,6.138,45,60,40,11.253,47,state_data_2013-2023_20250514_3.csv
Alabama,2019,4903185,3670,36,748.289,48,2210,35,450.523,48,1460,37,297.766,48,187320,33,38204.351,44,2980,36,608.176,47,20,44,4.283,45,40,40,8.362,49,state_data_2013-2023_20250514_3.csv
Alabama,2020,5033094,2840,33,564.861,46,1960,32,389.224,46,880,37,175.637,48,90050,32,17890.784,43,3490,29,693.41,40,10,45,1.192,45,20,46,2.98,52,state_data_2013-2023_20250514_3.csv
Alabama,2021,5049196,2890,34,571.774,47,1970,34,389.567,47,920,35,182.207,48,49890,30,9881.375,39,1610,41,319.655,51,0,,0.0,,20,41,3.367,48,state_data_2013-2023_20250514_3.csv
Alabama,2022,5076181,3750,34,738.153,47,2090,33,412.121,45,1660,35,326.033,48,115070,34,22668.222,42,4000,32,787.6,45,40,44,7.092,46,30,43,6.698,47,state_data_2013-2023_20250514_3.csv
